业务ID,L1模块,L2主题,L3核心概念,L4原子知识点,知识本体类型,前置依赖节点,纵向前置节点,默认分册,教材版本,年级,学期,单元序号,单元名称,小节序号,小节名称,认知共生节点,建议SOLO上限,常见错误模式
KP-0324,数与代数,小数乘除法,小数的分类,纯小数与带小数的概念,概念-定义,KP-0262,,五上,L2,,,,,,,,L2,
KP-0325,数与代数,小数乘除法,小数的分类,有限小数与无限小数的概念,概念-定义,KP-0321,,五上,L2,,,,,,,,L2,
KP-0326,数与代数,代数初步(方程),用字母表示数,用字母表示数量关系,表征-互化,,,五上,L2,,,,,,,,L2,
KP-0327,数与代数,代数初步(方程),用字母表示数,化简含字母的式子,算法-不进位,KP-0326,,五上,L1,,,,,,,,L1,
KP-0328,数与代数,代数初步(方程),方程的认识,方程的概念(含有未知数的等式),概念-意义,KP-0479|KP-0476|KP-0326,,五上,L2,,,,,,,,L2,
KP-0329,数与代数,代数初步(方程),等式的性质,等式的性质1(加减),概念-性质,KP-0328,,五上,L3,,,,,,,,L3,
KP-0330,数与代数,代数初步(方程),等式的性质,等式的性质2(乘除),概念-性质,KP-0329,,五上,L3,,,,,,,,L3,
KP-0331,数与代数,代数初步(方程),解方程,解形如x±a=b的方程,算法-不进位,KP-0329,,五上,L1,,,,,,,,L1,
KP-0332,数与代数,代数初步(方程),解方程,解形如ax=b的方程,算法-不进位,KP-0330,,五上,L1,,,,,,,,L1,
KP-0333,数与代数,代数初步(方程),解方程,解形如a减x等于b的方程,算法-不进位,KP-0331,,五上,L1,,,,,,,,L1,
KP-0334,数与代数,代数初步(方程),解方程,解形如a÷x=b的方程,算法-不进位,KP-0332,,五上,L1,,,,,,,,L1,
KP-0335,数与代数,代数初步(方程),解方程,解形如ax±b=c的方程,算法-不进位,KP-0331,,五上,L1,,,,,,,,L1,
KP-0336,数与代数,代数初步(方程),解方程,解形如ax±bx=c的方程,算法-不进位,KP-0335,,五上,L1,,,,,,,,L1,
KP-0337,数与代数,整数四则混合运算(进阶),含中括号的运算,含中括号的三步混合运算,算法-不进位,KP-0100,,四下,L1,,,,,,,,L1,
KP-0338,数与代数,数论初步,因数与倍数,整除的意义,概念-定义,KP-0478,,五下,L2,,,,,,,,L2,
KP-0339,数与代数,数论初步,因数与倍数,因数与倍数的概念,概念-意义,KP-0086|KP-0338,,五下,L2,,,,,,,,L2,域5:倍与'多几倍'混淆
KP-0340,数与代数,数论初步,因数与倍数,求一个数的因数的方法,算法-不进位,KP-0339,,五下,L1,,,,,,,,L1,
KP-0341,数与代数,数论初步,因数与倍数,求一个数的倍数的方法,算法-不进位,KP-0339,,五下,L1,,,,,,,,L1,域5:倍与'多几倍'混淆
KP-0342,数与代数,数论初步,倍数特征,2的倍数特征(偶数),概念-意义,KP-0339,,五下,L2,,,,,,,,L2,域5:倍与'多几倍'混淆
KP-0343,数与代数,数论初步,倍数特征,5的倍数特征,概念-意义,KP-0339,,五下,L2,,,,,,,,L2,域5:倍与'多几倍'混淆
KP-0344,数与代数,数论初步,倍数特征,3的倍数特征,概念-意义,KP-0339,,五下,L2,,,,,,,,L2,域5:倍与'多几倍'混淆
KP-0345,数与代数,数论初步,质数与合数,质数与合数的概念,概念-认识,KP-0339,,五下,L1,,,,,,,,L1,
KP-0346,数与代数,数论初步,质数与合数,分解质因数,概念-认识,KP-0340|KP-0345,,五下,L1,,,,,,,,L1,
KP-0347,数与代数,数论初步,质数与合数,互质的概念,概念-定义,KP-0350,,五下,L2,,,,,,,,L2,
KP-0348,数与代数,数论初步,平方数,平方数的认识,概念-定义,KP-0086,,五下,L2,,,,,,,,L2,
KP-0349,数与代数,数论初步,奇数与偶数,奇数与偶数的概念,概念-认识,KP-0342,,五下,L1,,,,,,,,L1,
KP-0350,数与代数,数论初步,公因数与公倍数,求最大公因数,算法-约分,KP-0346,,五下,L1,,,,,,,,L1,
KP-0351,数与代数,数论初步,公因数与公倍数,求最小公倍数,算法-约分,KP-0350,,五下,L1,,,,,,,,L1,域5:倍与'多几倍'混淆
KP-0352,数与代数,分数的认识,分数的意义,分数的意义(作为具体的量),概念-意义,KP-0212,,五下,L2,,,,,,,,L2,域3:用整数思维理解分数(分母越大值越大)
KP-0353,数与代数,分数的认识,分数的意义,分数的意义(作为倍数关系),概念-意义,KP-0352,,五下,L2,,,,,,,,L2,域3:用整数思维理解分数(分母越大值越大)
KP-0354,数与代数,分数的认识,分数的意义,"寻找单位""1""的方法",概念-意义,KP-0353,,五下,L2,,,,,,,,L2,
KP-0355,数与代数,分数的认识,分数与除法,分数与除法的关系,表征-互化,KP-0352,,五下,L2,,,,,,,,L2,域3:用整数思维理解分数(分母越大值越大)
KP-0356,数与代数,分数的认识,真假分数,真分数与假分数的概念,概念-认识,KP-0355,,五下,L1,,,,,,,,L1,域3:用整数思维理解分数(分母越大值越大)
KP-0357,数与代数,分数的认识,真假分数,假分数化带分数或整数,表征-互化,KP-0356,,五下,L2,,,,,,,,L2,域3:用整数思维理解分数(分母越大值越大)
KP-0358,数与代数,分数的认识,分数的基本性质,分数的基本性质,概念-性质,KP-0357,,五下,L3,,,,,,,,L3,域3:用整数思维理解分数(分母越大值越大)
KP-0359,数与代数,分数的认识,约分,约分的方法,算法-约分,KP-0350,,五下,L1,,,,,,,,L1,域3:约分不彻底/约分后忘写结果
KP-0360,数与代数,分数的认识,通分,通分的方法,算法-通分,KP-0351,,五下,L1,,,,,,,,L1,域3:找错公分母(用和而非公倍数)/只通分一个分数
KP-0361,数与代数,分数的认识,分数的比大小,分数的大小比较(通分法与化小数法),概念-比较,KP-0360,KP-0268,五下,L1,,,,,,,,L1,域3:用整数思维理解分数(分母越大值越大)
KP-0362,数与代数,分数的认识,分数与小数互化,分数化小数,表征-互化,KP-0355,KP-0262,五下,L2,,,,,,,,L2,域3:用整数思维理解分数(分母越大值越大)
KP-0363,数与代数,分数的认识,分数与小数互化,小数化分数,表征-互化,KP-0358,KP-0362,五下,L2,,,,,,,,L2,域3:用整数思维理解分数(分母越大值越大)
KP-0364,数与代数,分数加减法,同分母分数加减法,同分母分数加减法(不需约分),算法-不进位,KP-0360,,五下,L1,,,,,,,,L1,域3:用整数思维理解分数(分母越大值越大)
KP-0365,数与代数,分数加减法,同分母分数加减法,同分母分数加减法(需约分),算法-约分,KP-0364,,五下,L1,,,,,,,,L1,域3:用整数思维理解分数(分母越大值越大)
KP-0366,数与代数,分数加减法,同分母分数加减法,同分母分数加减法(结果是假分数),算法-进位,KP-0365,,五下,L1,,,,,,,,L1,域3:用整数思维理解分数(分母越大值越大)
KP-0367,数与代数,分数加减法,异分母分数加减法,异分母分数加减法,算法-通分,KP-0364|KP-0274|KP-0360,KP-0277,五下,L1,,,,,,,,L1,E3:1/2+1/3=2/5(分子加分子分母加分母)
KP-0368,数与代数,分数加减法,分数加减法的特殊情况,整数减真分数,算法-退位,KP-0367,,五下,L2,,,,,,,,L1,域3:用整数思维理解分数(分母越大值越大)
KP-0369,数与代数,分数加减法,分数加减法的特殊情况,带分数退位减法,算法-退位,KP-0368,,五下,L1,,,,,,,,L1,域2:个位不够减时反向减(大减小)/忘记借位后十位减1
KP-0370,数与代数,分数加减法,分数加减混合运算,分数加减混合运算,算法-约分,KP-0367,,五下,L1,,,,,,,,L1,域3:用整数思维理解分数(分母越大值越大)
KP-0371,图形与几何,平面图形的测量(面积),平行四边形的面积,平行四边形面积的推导(割补法),概念-意义,KP-0291|KP-0199,KP-0198,五上,L2,,,,,,,,L2,域4:面积与周长混淆(用错公式)/单位用错
KP-0372,图形与几何,平面图形的测量(面积),平行四边形的面积,平行四边形面积的计算,算法-不进位,KP-0371,,五上,L1,,,,,,,,L1,域4:面积与周长混淆(用错公式)/单位用错
KP-0373,图形与几何,平面图形的测量(面积),三角形的面积,三角形面积的推导(拼凑法),概念-意义,KP-0295|KP-0372,KP-0371,五上,L2,,,,,,,,L2,域4:面积与周长混淆(用错公式)/单位用错
KP-0374,图形与几何,平面图形的测量(面积),三角形的面积,三角形面积的计算,算法-不进位,KP-0373,,五上,L1,,,,,,,,L1,域4:面积与周长混淆(用错公式)/单位用错
KP-0375,图形与几何,平面图形的测量(面积),梯形的面积,梯形面积的推导(拼凑法),概念-意义,KP-0372|KP-0292,KP-0373,五上,L2,,,,,,,,L2,域4:面积与周长混淆(用错公式)/单位用错
KP-0376,图形与几何,平面图形的测量(面积),梯形的面积,梯形面积的计算,算法-不进位,KP-0375,,五上,L1,,,,,,,,L1,域4:面积与周长混淆(用错公式)/单位用错
KP-0377,图形与几何,平面图形的测量(面积),组合图形的面积,组合图形面积(加法思路),算法-不进位,KP-0374,,五上,L1,,,,,,,,L1,域4:面积与周长混淆(用错公式)/单位用错
KP-0378,图形与几何,平面图形的测量(面积),组合图形的面积,组合图形面积(减法思路),算法-不进位,KP-0377,,五上,L1,,,,,,,,L1,域4:面积与周长混淆(用错公式)/单位用错
KP-0379,图形与几何,立体图形的认识与测量,长方体和正方体的认识,长方体的特征,概念-认识,KP-0187,,五下,L1,,,,,,,,L1,
KP-0380,图形与几何,立体图形的认识与测量,长方体和正方体的认识,正方体的特征,概念-认识,KP-0379,,五下,L1,,,,,,,,L1,
KP-0381,图形与几何,立体图形的认识与测量,长方体和正方体的认识,长方体/正方体的展开图,实践-构图,KP-0380,KP-0198,五下,L2,,,,,,,,L2,域4:展开图→立体还原心理旋转失败
KP-0382,图形与几何,立体图形的认识与测量,棱长和,长方体的棱长和,概念-认识,KP-0379,,五下,L1,,,,,,,,L1,
KP-0383,图形与几何,立体图形的认识与测量,棱长和,正方体的棱长和,概念-认识,KP-0380,,五下,L1,,,,,,,,L1,
KP-0384,图形与几何,立体图形的认识与测量,表面积,长方体的表面积计算,算法-不进位,KP-0379|KP-0199,,五下,L1,,,,,,,,L1,域4:面积与周长混淆(用错公式)/单位用错
KP-0385,图形与几何,立体图形的认识与测量,表面积,正方体的表面积计算,算法-不进位,KP-0380|KP-0200,,五下,L1,,,,,,,,L1,域4:面积与周长混淆(用错公式)/单位用错
KP-0386,图形与几何,立体图形的认识与测量,表面积,表面积的实际应用(缺面问题),实践-构图,KP-0384,,五下,L2,,,,,,,,L2,域4:面积与周长混淆(用错公式)/单位用错
KP-0387,图形与几何,立体图形的认识与测量,体积与容积,体积与容积的概念,概念-意义,KP-0379,KP-0196,五下,L2,,,,,,,,L2,域4:体积与表面积混淆/单位换算(立方)漏乘1000
KP-0388,图形与几何,立体图形的认识与测量,体积计算,长方体的体积计算,算法-不进位,KP-0387|KP-0384|KP-0086,KP-0198,五下,L1,,,,,,,,L1,域4:体积与表面积混淆/单位换算(立方)漏乘1000
KP-0389,图形与几何,立体图形的认识与测量,体积计算,正方体的体积计算,算法-不进位,KP-0388,,五下,L1,,,,,,,,L1,域4:体积与表面积混淆/单位换算(立方)漏乘1000
KP-0390,图形与几何,立体图形的认识与测量,体积单位,体积单位的换算(立方分米=升),算法-单位换算,KP-0387,,五下,L2,,,,,,,,L2,域4:体积与表面积混淆/单位换算(立方)漏乘1000
KP-0391,图形与几何,图形的位置与运动,位置,用数对确定位置,概念-认识,,,五上,L1,,,,,,,,L1,
KP-0392,图形与几何,图形的位置与运动,旋转,在方格纸上画旋转图形,实践-构图,KP-0132,,五下,L2,,,,,,,,L2,域4:旋转方向和角度判断错误
KP-0393,统计与概率,数据统计与分析,折线统计图,单式折线统计图,实践-构图,KP-0304,KP-0305,五下,L2,,,,,,,,L2,域5:只看折线形状不看纵轴刻度
KP-0394,统计与概率,数据统计与分析,折线统计图,复式折线统计图,实践-构图,KP-0393,KP-0393,五下,L2,,,,,,,,L2,域5:只看折线形状不看纵轴刻度
KP-0395,统计与概率,可能性,可能性的大小,判断可能性的大小,概念-比较,,,五上,L1,,,,,,,,L1,
KP-0396,统计与概率,可能性,可能性的大小,用分数表示可能性的大小,概念-比较,KP-0355|KP-0395,,五上,L1,,,,,,,,L1,域3:用整数思维理解分数(分母越大值越大)
KP-0397,综合与实践,数学广角,找规律,找规律(数列规律),关系-变化规律,KP-0082,,三上,L3,,,,,,,,L3,
KP-0398,综合与实践,数学广角,周期问题,周期问题(余数的应用),实践-应用模型,KP-0103,,三上,L3,,,,,,,,L4,
KP-0399,综合与实践,数学广角,等差数列,等差数列求和,概念-公式,KP-0397,,三上,L1,,,,,,,,L2,
KP-0400,数与代数,分数乘除法,分数乘法,分数乘整数的意义(相同分数连加),概念-意义,KP-0086|KP-0358,KP-0309,六上,L2,,,,,,,,L2,域3:用整数思维理解分数(分母越大值越大)
KP-0401,数与代数,分数乘除法,分数乘法,分数乘整数的计算,算法-约分,KP-0400|KP-0359,,六上,L1,,,,,,,,L1,域3:用整数思维理解分数(分母越大值越大)
KP-0402,数与代数,分数乘除法,分数乘法,分数乘分数的意义(求一个数的几分之几),概念-意义,KP-0400,KP-0400,六上,L2,,,,,,,,L2,域3:用整数思维理解分数(分母越大值越大)
KP-0403,数与代数,分数乘除法,分数乘法,分数乘分数的计算,算法-约分,KP-0402|KP-0359,,六上,L1,,,,,,,,L1,域3:用整数思维理解分数(分母越大值越大)
KP-0404,数与代数,分数乘除法,分数乘法,分数乘法中积与因数的大小关系,算法-不进位,KP-0403,,六上,L1,,,,,,,,L1,域3:用整数思维理解分数(分母越大值越大)
KP-0405,数与代数,分数乘除法,倒数,倒数的概念,概念-意义,KP-0403,,六上,L2,,,,,,,,L2,域3:倒数概念与相反数混淆
KP-0406,数与代数,分数乘除法,倒数,倒数的求法,表征-互化,KP-0405,,六上,L2,,,,,,,,L2,域3:倒数概念与相反数混淆
KP-0407,数与代数,分数乘除法,分数除法,分数除以整数的计算,算法-约分,KP-0406|KP-0403,,六上,L1,,,,,,,,L1,域3:用整数思维理解分数(分母越大值越大)
KP-0408,数与代数,分数乘除法,分数除法,一个数除以分数的计算,算法-约分,KP-0407,,六上,L1,,,,,,,,L1,域3:用整数思维理解分数(分母越大值越大)
KP-0409,数与代数,分数乘除法,分数混合运算,分数四则混合运算,算法-不进位,KP-0408,,六上,L1,,,,,,,,L1,域3:用整数思维理解分数(分母越大值越大)
KP-0410,数与代数,分数乘除法,分数应用模型,求一个数的几分之几是多少,实践-应用模型,KP-0354,,六上,L3,,,,,,,,L3,
KP-0411,数与代数,分数乘除法,分数应用模型,已知几分之几求单位1,实践-应用模型,KP-0410,,六上,L3,,,,,,,,L3,域5:找不到或找错单位'1'
KP-0412,数与代数,分数乘除法,分数应用模型,分数中的量与率辨析,实践-应用模型,KP-0353,,六上,L3,,,,,,,,L3,域3:用整数思维理解分数(分母越大值越大)
KP-0413,数与代数,比和比例,比的认识,比的意义与读写,概念-认识,KP-0408|KP-0353,,六上,L1,,,,,,,,L1,域1:数字镜像反转(3写反/6和9混淆)
KP-0414,数与代数,比和比例,比的认识,连比的概念,概念-定义,KP-0413,,六上,L2,,,,,,,,L2,域3:比与比值混淆/化简比和求比值不分
KP-0415,数与代数,比和比例,比的认识,比的基本性质,概念-性质,KP-0358,,六上,L3,,,,,,,,L3,域3:比与比值混淆/化简比和求比值不分
KP-0416,数与代数,比和比例,比的认识,化简比与求比值,算法-不进位,KP-0415,,六上,L1,,,,,,,,L1,域3:比与比值混淆/化简比和求比值不分
KP-0417,数与代数,比和比例,比例的认识,比例的意义与基本性质,概念-意义,KP-0416,,六下,L2,,,,,,,,L2,域3:正反比例判断错误/比例尺方向用反
KP-0418,数与代数,比和比例,比例的认识,解比例,概念-意义,KP-0417,,六下,L2,,,,,,,,L2,域3:正反比例判断错误/比例尺方向用反
KP-0419,数与代数,比和比例,正反比例,正比例的意义,概念-意义,KP-0418,,六下,L2,,,,,,,,L2,域3:正反比例判断错误/比例尺方向用反
KP-0420,数与代数,比和比例,正反比例,正比例的图像(正比例关系在坐标系中的表示),概念-认识,KP-0419,,六下,L1,,,,,,,,L1,域3:正反比例判断错误/比例尺方向用反
KP-0421,数与代数,比和比例,正反比例,反比例的意义,概念-意义,KP-0419,,六下,L2,,,,,,,,L2,域3:正反比例判断错误/比例尺方向用反
KP-0422,数与代数,比和比例,比例尺,比例尺的意义与分类,概念-认识,KP-0418,,六下,L1,,,,,,,,L1,域3:正反比例判断错误/比例尺方向用反
KP-0423,数与代数,比和比例,比例应用模型,按比分配问题,实践-应用模型,KP-0416,,六下,L3,,,,,,,,L3,域3:比与比值混淆/化简比和求比值不分
KP-0424,数与代数,比和比例,比例应用模型,正比例解题,概念-意义,KP-0419,,六下,L2,,,,,,,,L2,域3:正反比例判断错误/比例尺方向用反
KP-0425,数与代数,比和比例,比例应用模型,反比例解题,概念-意义,KP-0421,,六下,L2,,,,,,,,L2,域3:正反比例判断错误/比例尺方向用反
KP-0426,图形与几何,图形的运动(进阶),图形的放大与缩小,图形的放大与缩小,实践-构图,KP-0422,,五下,L2,,,,,,,,L2,
KP-0427,数与代数,百分数,百分数的认识,百分数的意义与读写,概念-意义,KP-0353|KP-0262,KP-0264,六上,L2,,,,,,,,L2,域1:数字镜像反转(3写反/6和9混淆)
KP-0428,数与代数,百分数,百分数与分数小数的互化,百分数与小数的互化,表征-互化,KP-0269|KP-0270,KP-0363,六上,L2,,,,,,,,L2,域3:用整数思维理解分数(分母越大值越大)
KP-0429,数与代数,百分数,百分数与分数小数的互化,百分数与分数的互化,表征-互化,KP-0362,KP-0428,六上,L2,,,,,,,,L2,域3:用整数思维理解分数(分母越大值越大)
KP-0430,数与代数,百分数,百分数应用模型,折扣与成数问题,实践-应用模型,KP-0427,,六上,L4,,,,,,,,L3,域3:折扣计算方向错(打8折=÷0.8非×0.8)
KP-0431,数与代数,百分数,百分数应用模型,税率问题,实践-应用模型,KP-0427,,六下,L4,,,,,,,,L3,域3:税前/税后方向搞反
KP-0432,数与代数,百分数,百分数应用模型,利率问题,实践-应用模型,KP-0431,,六下,L4,,,,,,,,L3,域3:忘记将年利率换算为期利率
KP-0433,数与代数,百分数,百分数应用模型,利润率问题,实践-应用模型,KP-0432,,六上,L4,,,,,,,,L3,
KP-0434,数与代数,百分数,百分数应用模型,浓度问题,实践-应用模型,KP-0433,,六上,L4,,,,,,,,L3,域3:溶质/溶液/浓度三者关系混淆
KP-0435,数与代数,负数的初步认识,负数的认识,正负数的意义与读写,概念-认识,,KP-0264,六下,L1,,,,,,,,L1,域1:数字镜像反转(3写反/6和9混淆)
KP-0436,数与代数,负数的初步认识,负数在数轴上的表示,数轴上的正负数,概念-比较,KP-0435,,六下,L1,,,,,,,,L1,
KP-0437,数与代数,负数的初步认识,相反数与绝对值,相反数的概念,概念-定义,KP-0436,,六下,L2,,,,,,,,L2,
KP-0438,数与代数,负数的初步认识,相反数与绝对值,绝对值的认识,概念-定义,KP-0436,,六下,L2,,,,,,,,L2,
KP-0439,图形与几何,平面图形的认识与测量(曲线),圆的认识,圆的特征与各部分名称,概念-认识,KP-0068,,六上,L1,,,,,,,,L1,域4:半径/直径混淆/圆周率意义不清
KP-0440,图形与几何,平面图形的认识与测量(曲线),圆的周长,圆周率的意义,概念-意义,KP-0439,,六上,L2,,,,,,,,L2,域4:半径/直径混淆/圆周率意义不清
KP-0441,图形与几何,平面图形的认识与测量(曲线),圆的周长,圆的周长计算,概念-公式,KP-0440,,六上,L2,,,,,,,,L2,域4:周长与面积混淆(用错公式)
KP-0442,图形与几何,平面图形的认识与测量(曲线),圆的面积,圆面积的推导(转化为长方形),概念-意义,KP-0441|KP-0199,KP-0198,六上,L2,,,,,,,,L2,域4:面积与周长混淆(用错公式)/单位用错
KP-0443,图形与几何,平面图形的认识与测量(曲线),圆的面积,圆面积的计算,概念-公式,KP-0442,,六上,L2,,,,,,,,L2,域4:面积与周长混淆(用错公式)/单位用错
KP-0444,图形与几何,平面图形的认识与测量(曲线),圆的面积,圆环面积的计算,概念-公式,KP-0443,,六上,L2,,,,,,,,L2,域4:面积与周长混淆(用错公式)/单位用错
KP-0445,图形与几何,平面图形的认识与测量(曲线),扇形的认识,弧的认识,概念-定义,KP-0439,,六上,L2,,,,,,,,L2,
KP-0446,图形与几何,平面图形的认识与测量(曲线),扇形的认识,圆心角的概念,概念-定义,KP-0445,,六上,L2,,,,,,,,L2,域4:量角器内圈外圈读错/锐角钝角判断错
KP-0447,图形与几何,平面图形的认识与测量(曲线),扇形的认识,扇形的特征,概念-认识,KP-0446,,六上,L1,,,,,,,,L1,域4:圆心角与面积占比不对应
KP-0448,图形与几何,平面图形的认识与测量(曲线),扇形的认识,扇形面积的计算,概念-公式,KP-0447|KP-0443,,六上,L2,,,,,,,,L2,域4:面积与周长混淆(用错公式)/单位用错
KP-0449,图形与几何,立体图形的认识与测量(曲面),圆柱的认识,圆柱的特征与展开图,概念-认识,KP-0441,KP-0381,六下,L1,,,,,,,,L1,域4:展开图→立体还原心理旋转失败
KP-0450,图形与几何,立体图形的认识与测量(曲面),圆柱的表面积,圆柱的侧面积计算,算法-不进位,KP-0449|KP-0199,,六下,L1,,,,,,,,L1,域4:面积与周长混淆(用错公式)/单位用错
KP-0451,图形与几何,立体图形的认识与测量(曲面),圆柱的表面积,圆柱的表面积计算,实践-构图,KP-0450|KP-0443,,六下,L2,,,,,,,,L2,域4:面积与周长混淆(用错公式)/单位用错
KP-0452,图形与几何,立体图形的认识与测量(曲面),圆柱的体积,圆柱体积的推导(转化为长方体),概念-意义,KP-0442|KP-0388,KP-0388,六下,L2,,,,,,,,L2,域4:体积与表面积混淆/单位换算(立方)漏乘1000
KP-0453,图形与几何,立体图形的认识与测量(曲面),圆柱的体积,圆柱体积的计算,概念-公式,KP-0452,KP-0452,六下,L2,,,,,,,,L2,域4:体积与表面积混淆/单位换算(立方)漏乘1000
KP-0454,图形与几何,立体图形的认识与测量(曲面),圆锥的认识,圆锥的特征,概念-认识,KP-0449,,六下,L1,,,,,,,,L1,域4:半径/直径混淆/圆周率意义不清
KP-0455,图形与几何,立体图形的认识与测量(曲面),圆锥的认识,圆锥的侧面展开图(扇形),实践-构图,KP-0454,,六下,L2,,,,,,,,L2,域4:展开图→立体还原心理旋转失败
KP-0456,图形与几何,立体图形的认识与测量(曲面),圆锥的表面积,圆锥的表面积计算,概念-公式,KP-0455|KP-0448,,六下,L2,,,,,,,,L2,域4:面积与周长混淆(用错公式)/单位用错
KP-0457,图形与几何,立体图形的认识与测量(曲面),圆锥的体积,圆锥体积的推导(实验法),概念-意义,KP-0453,KP-0388,六下,L2,,,,,,,,L2,域4:体积与表面积混淆/单位换算(立方)漏乘1000
KP-0458,图形与几何,立体图形的认识与测量(曲面),圆锥的体积,圆锥体积的计算,概念-公式,KP-0457,,六下,L2,,,,,,,,L2,域4:体积与表面积混淆/单位换算(立方)漏乘1000
KP-0459,图形与几何,图形与位置,位置与方向(极坐标),用方向和距离确定位置,概念-认识,KP-0209,,三下,L1,,,,,,,,L1,
KP-0460,统计与概率,统计图表,扇形统计图,扇形统计图的特征与意义,概念-认识,KP-0427,KP-0394,六上,L1,,,,,,,,L1,域4:圆心角与面积占比不对应
KP-0461,统计与概率,数据统计与分析,平均数,加权平均数的概念与计算,概念-公式,KP-0307,,四下,L2,,,,,,,,L2,域5:平均数=总数÷份数但份数数错
KP-0462,统计与概率,数据统计与分析,中位数与众数,中位数的概念与求法,概念-意义,KP-0307,,四下,L2,,,,,,,,L2,
KP-0463,统计与概率,数据统计与分析,中位数与众数,众数的概念与求法,概念-意义,KP-0307,,四下,L2,,,,,,,,L2,
KP-0464,综合与实践,数学广角,数与形,数形结合规律,关系-变化规律,,,六上,L3,,,,,,,,L3,
KP-0465,综合与实践,数学广角,鸽巢问题,抽屉原理的认识,概念-认识,,,六下,L1,,,,,,,,L1,
KP-0466,综合与实践,数学广角,行程问题,行程问题基本数量关系(速度×时间=路程),概念-意义,KP-0243|KP-0520,,三上,L2,,,,,,,,L2,域5:速度/时间/路程三者关系混淆
KP-0467,图形与几何,常见的量(时间),认识钟表,钟面的认识(时针/分针),概念-认识,,,二下,L1,,,,,,,,L1,
KP-0468,图形与几何,常见的量(时间),认识钟表,认识整时,概念-认识,KP-0467,,二下,L1,,,,,,,,L1,
KP-0469,图形与几何,常见的量(时间),认识钟表,认识半时,概念-认识,KP-0468,,二下,L1,,,,,,,,L1,
KP-0470,图形与几何,常见的量(时间),认识钟表,认识几时几分,概念-认识,KP-0469,,二下,L1,,,,,,,,L1,
KP-0471,数与代数,常见的量(货币),人民币的认识,各面值人民币的认识,概念-认识,,,一下,L1,,,,,,,,L1,域5:元角分进退位错误(100进制非10进制)
KP-0472,数与代数,常见的量(货币),人民币的换算,元角分的进率(1元=10角=100分),算法-单位换算,KP-0471,,一下,L2,,,,,,,,L2,域4:量角器内圈外圈读错/锐角钝角判断错
KP-0473,数与代数,常见的量(货币),人民币的简单计算,人民币的加减计算,算法-不进位,KP-0472,,一下,L1,,,,,,,,L1,域5:元角分进退位错误(100进制非10进制)
KP-0474,数与代数,整数认识与加减法(20以内),加减法各部分关系,加法各部分名称(加数+加数=和),概念-认识,KP-0044,,一下,L1,,,,,,,,L1,
KP-0475,数与代数,整数认识与加减法(20以内),加减法各部分关系,减法各部分名称,概念-认识,KP-0045,,一下,L1,,,,,,,,L1,
KP-0476,数与代数,整数认识与加减法(20以内),加减法各部分关系,加减法互逆关系,关系-逆运算,KP-0474,,一下,L2,,,,,,,,L2,
KP-0477,数与代数,表内乘法,乘除法各部分关系,乘法各部分名称(因数×因数=积),概念-认识,KP-0086,,二上,L1,,,,,,,,L1,
KP-0478,数与代数,表内除法,乘除法各部分关系,除法各部分名称(被除数÷除数=商),概念-认识,KP-0091,,二上,L1,,,,,,,,L1,
KP-0479,数与代数,表内除法,乘除法各部分关系,乘除法互逆关系,关系-逆运算,KP-0477,,二上,L2,,,,,,,,L2,
KP-0480,数与代数,整数认识与加减法(20以内),加减法简单应用模型,比多比少模型(求大数),实践-应用模型,KP-0046,,一下,L3,,,,,,,,L3,域3:比与比值混淆/化简比和求比值不分
KP-0481,数与代数,整数认识与加减法(20以内),加减法简单应用模型,比多比少模型(求差量),实践-应用模型,KP-0046,,一下,L3,,,,,,,,L3,域3:比与比值混淆/化简比和求比值不分
KP-0482,数与代数,表内除法,特殊除法规则,0不能作除数,概念-认识,KP-0093,,二上,L1,,,,,,,,L1,
KP-0483,数与代数,表内除法,除法竖式,除法竖式的认识与书写,概念-认识,KP-0095,,二上,L1,,,,,,,,L1,域2:步骤序列错乱(先减后乘)/商中间0漏写
KP-0484,数与代数,整数乘法(多位数乘一位数),乘法估算,乘法估算(多位数乘一位数),算法-近似数,KP-0245,,三上,L1,,,,,,,,L1,域2:估算后不验证答案合理性
KP-0485,数与代数,整数乘法(两位数乘两位数),乘法估算,乘法估算(两位数乘两位数),算法-近似数,KP-0195,,三下,L1,,,,,,,,L1,域2:估算后不验证答案合理性
KP-0486,数与代数,整数除法(除数是一位数),除法估算,除法估算(除数是一位数),算法-近似数,KP-0170,,三下,L1,,,,,,,,L1,域2:估算后不验证答案合理性
KP-0487,数与代数,小数乘除法,小数混合运算,小数四则混合运算,算法-不进位,KP-0321,,五上,L1,,,,,,,,L1,
KP-0488,数与代数,小数乘除法,小数简便计算,小数加减法凑整,算法-不进位,KP-0487,,五上,L1,,,,,,,,L1,
KP-0489,数与代数,小数乘除法,小数简便计算,小数乘法分配律的应用,算法-不进位,KP-0487,,五上,L1,,,,,,,,L1,域2:(a+b)×c只乘a忘乘b/错误展开为a×c+b
KP-0490,数与代数,小数乘除法,小数简便计算,小数乘除法交换律结合律的应用,算法-不进位,KP-0489,,五上,L1,,,,,,,,L1,域2:交换律不理解(3+5=8但5+3需重算)
KP-0491,数与代数,代数初步(方程),解小数方程,解含小数系数的方程,概念-认识,KP-0335,,五上,L1,,,,,,,,L1,
